Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MC,title01,1,Question for multiple choice,1,correct 1,incorrect 2,incorrect 3,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
TF,title02,1,Question for true false,TRUE,,,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
FB,title03,1,Question for fill in the blank,,I'm not sure what goes here.,I'm not sure what goes in here either.,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
MR,title04,1,Question for multiple answers,"1,2",correct 1,correct 2,incorrect 1,incorrect 2,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
ES,title06,1,Question for essay question,,I'm not sure what goes here.,,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
MC,Assign01001,1,This is a placeholder question to keep the numbers aligned with the paper copy. How do you feel about it?,"1,2",I love free points!,I wish this were harder!,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01002,1,Install R on your computer. (See computer videos.) Describe any difficulties.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01003,1,Install RStudio on your computer. (See computer videos.) Describe any difficulties.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01004,1,"Click on the .Rmd file in RStudio to open the R notebook. Read through the file. Try running the code block on line 10. Add a new code block after line 14 and enter the code View(cars). Set the eval=FALSE for the new code block. The code should look like this: [See assignment paper for code example.] Run the code block. Describe any difficulties you had.","1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01006,1,After you finished reading through the .Rmd file. Knit the file to HTML and save the HTML file. You will turn the file in as part of your assignment. Describe any difficulties. If you encounter errors while creating the HTML file and can�t figure out how to fix them. You can paste the text of the .Rmd file with the output into a Word or pdf file and turn in that.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01007,1,Install Jamovi on your computer. (See computer videos.) Describe any difficulties.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01008,1,Add the R datasets module to Jamovi. Open the cars dataset in Jamovi. Describe any difficulties.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01009,3,How can you set the level of measurement of the variables in Jamovi? Fix the level of measurement for the variables in the cars dataset in Jamovi to match the answer you gave above.,1,Jamovi � Data � Click on column heading � select the correct level of measurement.,Jamovi doesn't allow you to specify the level of measurement.,Jamovi � Analyze � Click on column heading � select the correct level of measurement.,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,Assign01010,1,Save the Jamovi file (.omv). You will turn it in as part of your assignment. Describe any difficulties.,"1,2",I was able to do this.,I posted a good description of the problems I'm having (with screenshots) and the things I've tried on the discussion board to ask for help.,Not done yet.,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,Assign01011,3,"When conducting statistical analyses, we should always keep in mind the larger context in which we are working with data. What are steps in the research process which are completed before we analyze data?","1,2,3,4",Generate research questions,Generate research hypotheses,"Determine study design, variables, levels of measurement",Collect data,,,,,,,"Field 1.4-1.6, LSWJ 2.2","Field 1.4-1.6, LSWJ 2.2","Field 1.4-1.6, LSWJ 2.2",,,,,,,,,,,,,,,,
ES,Assign01012,1,What did you like/dislike about this assignment? (Save your response to this question in case you attempt this assignment again so you can just paste the answer here rather than retype it.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Assign01013,1,How would you change this assignment to make it better for future students? (Save your response to this question in case you attempt this assignment again so you can just paste the answer here rather than retype it.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
